,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
UP_Non_ClassI_Freight_Only_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP_Non_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP_Non_ClassI_Freight_Non_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP_All_Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP_All_Train,19.107122,166.278516,158.232433,177.262997,181.601006,173.587072,187.640543,191.151826,194.223631,200.233363,204.40217,195.286577,183.119072,149.449203,160.260829,167.102372,167.509701,166.739411,174.563845,162.617614,148.222077,152.334076,154.301439,135.963719,113.624909,112.160608,114.466234,104.652296
UP_All_Train_Mainline,0,150.275695,142.913853,161.306945,165.574631,159.211306,173.90589,175.399029,177.457947,183.201193,187.494115,167.794182,158.542085,130.320378,141.087032,145.477807,145.54019,144.479852,151.629498,139.872427,129.240572,133.102264,134.497842,117.595122,98.214454,96.398054,98.718283,90.178568
UP_All_Train_Non_Mainline,19.107122,16.002821,15.31858,15.956052,16.026375,14.375766,13.734653,15.752797,16.765684,17.03217,16.908055,27.492395,24.576987,19.128825,19.173797,21.624565,21.969511,22.259559,22.934347,22.745187,18.981505,19.231812,19.803597,18.368597,15.410455,15.762554,15.747951,14.473728
KCS_All_Freight,1.618416,9.758714,10.63023,10.403437,9.690364,8.843633,8.782481,8.613221,8.671295,8.744568,11.621057,11.397628,11.361608,10.128488,10.35443,10.62949,10.707826,10.771127,11.456967,10.937982,10.309158,10.876663,10.572864,10.87571,9.370281,10.068457,10.671999,3.503447
KCS_All_Freight_Both_Mainline,0,8.055856,8.986792,8.741639,8.188266,7.280552,7.376211,7.128909,7.267949,7.585756,9.188751,8.893828,8.979704,8.18045,8.345408,8.48794,8.547976,8.614211,9.266649,8.79486,8.3259,8.966881,8.647938,9.003908,7.642455,8.297815,8.899409,2.914253
KCS_All_Freight_Only_Mainline,0,8.055286,8.986792,8.741639,8.188266,7.280552,7.376211,7.128909,7.267949,7.585756,9.188751,8.893828,8.979704,8.18045,8.345408,8.48794,8.547976,8.614211,9.266649,8.79486,8.3259,8.966881,8.647938,9.003908,7.642455,8.297815,8.899409,2.914253
KCS_All_Freight_Other_Mainline,0,0.00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCS_All_Freight_Non_Mainline,1.618416,1.702858,1.643438,1.661798,1.502098,1.563081,1.40627,1.484312,1.403346,1.158812,2.432306,2.5038,2.381904,1.948038,2.009022,2.14155,2.15985,2.156916,2.190318,2.143122,1.983258,1.909782,1.924926,1.871802,1.727826,1.770642,1.77259,0.589194
KCS_ClassI_Freight_Both_Mainline,0,8.055856,8.986792,8.741639,8.188266,7.280552,7.376211,7.128909,7.267949,7.585756,9.188751,8.893828,8.979704,8.18045,8.345408,8.48794,8.547976,8.614211,9.266649,8.79486,8.3259,8.966881,8.647938,9.003908,7.642455,8.297815,8.899409,2.914253
KCS_ClassI_Freight_Only_Mainline,0,8.055286,8.986792,8.741639,8.188266,7.280552,7.376211,7.128909,7.267949,7.585756,9.188751,8.893828,8.979704,8.18045,8.345408,8.48794,8.547976,8.614211,9.266649,8.79486,8.3259,8.966881,8.647938,9.003908,7.642455,8.297815,8.899409,2.914253
KCS_ClassI_Freight_Other_Mainline,0,0.00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCS_ClassI_Freight_Non_Mainline,1.618416,1.702858,1.643438,1.661798,1.502098,1.563081,1.40627,1.484312,1.403346,1.158812,2.432306,2.5038,2.381904,1.948038,2.009022,2.14155,2.15985,2.156916,2.190318,2.143122,1.983258,1.909782,1.924926,1.871802,1.727826,1.770642,1.77259,0.589194
KCS_Non_ClassI_Freight_Both_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCS_Non_ClassI_Freight_Only_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCS_Non_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCS_Non_ClassI_Freight_Non_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCS_All_Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCS_All_Train,1.618416,9.758714,10.63023,10.403437,9.690364,8.843633,8.782481,8.613221,8.671295,8.744568,11.621057,11.397628,11.361608,10.128488,10.35443,10.62949,10.707826,10.771127,11.456967,10.937982,10.309158,10.876663,10.572864,10.87571,9.370281,10.068457,10.671999,3.503447
KCS_All_Train_Mainline,0,8.055856,8.986792,8.741639,8.188266,7.280552,7.376211,7.128909,7.267949,7.585756,9.188751,8.893828,8.979704,8.18045,8.345408,8.48794,8.547976,8.614211,9.266649,8.79486,8.3259,8.966881,8.647938,9.003908,7.642455,8.297815,8.899409,2.914253
KCS_All_Train_Non_Mainline,1.618416,1.702858,1.643438,1.661798,1.502098,1.563081,1.40627,1.484312,1.403346,1.158812,2.432306,2.5038,2.381904,1.948038,2.009022,2.14155,2.15985,2.156916,2.190318,2.143122,1.983258,1.909782,1.924926,1.871802,1.727826,1.770642,1.77259,0.589194
BNSF_All_Freight,18.858098,154.070935,161.880444,161.564447,159.716411,163.011364,161.876658,173.517152,186.530855,193.569487,200.28796,190.020179,186.088403,156.799568,169.002508,175.6471,180.660564,185.19699,190.047114,185.679014,171.176939,179.734722,187.270156,175.821676,155.221099,155.909753,152.221459,137.835323
BNSF_All_Freight_Both_Mainline,0,136.898241,145.851927,146.159926,145.578595,149.244443,149.058126,160.415966,172.814565,178.924409,185.121817,174.803616,170.931924,143.848655,155.672631,161.669222,166.150765,170.749013,175.2916,171.032489,157.653629,166.048638,173.129101,162.086832,143.265997,144.180989,140.581701,126.868602
BNSF_All_Freight_Only_Mainline,0,136.898241,145.851927,146.159926,145.578595,149.244443,149.058126,160.415966,172.814565,178.924409,185.121817,174.803616,170.931924,143.848655,155.672631,161.669222,166.150765,170.749013,175.2916,171.032489,157.653629,166.048638,173.129101,162.086832,143.265997,144.180989,140.581701,126.868602
BNSF_All_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNSF_All_Freight_Non_Mainline,18.858098,17.172694,16.028517,15.404521,14.137816,13.766921,12.818532,13.101186,13.71629,14.645078,15.166143,15.216563,15.156479,12.950913,13.329877,13.977878,14.509799,14.447977,14.755514,14.646525,13.52331,13.686084,14.141055,13.734844,11.955102,11.728764,11.639758,10.966721
BNSF_ClassI_Freight_Both_Mainline,0,136.898241,145.851927,146.159926,145.578595,149.244443,149.058126,160.415966,172.814565,178.924409,185.121817,174.803616,170.931924,143.848655,155.672631,161.669222,166.150765,170.749013,175.2916,171.032489,157.653629,166.048638,173.129101,162.086832,143.265997,144.180989,140.581701,126.868602
BNSF_ClassI_Freight_Only_Mainline,0,136.898241,145.851927,146.159926,145.578595,149.244443,149.058126,160.415966,172.814565,178.924409,185.121817,174.803616,170.931924,143.848655,155.672631,161.669222,166.150765,170.749013,175.2916,171.032489,157.653629,166.048638,173.129101,162.086832,143.265997,144.180989,140.581701,126.868602
BNSF_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNSF_ClassI_Freight_Non_Mainline,18.858098,17.172694,16.028517,15.404521,14.137816,13.766921,12.818532,13.101186,13.71629,14.645078,15.166143,15.216563,15.156479,12.950913,13.329877,13.977878,14.509799,14.447977,14.755514,14.646525,13.52331,13.686084,14.141055,13.734844,11.955102,11.728764,11.639758,10.966721
BNSF_Non_ClassI_Freight_Both_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNSF_Non_ClassI_Freight_Only_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNSF_Non_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNSF_Non_ClassI_Freight_Non_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNSF_All_Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNSF_All_Train,18.858098,154.671963,162.781415,162.473995,160.653913,163.011364,161.876658,173.517152,186.530855,193.569487,200.28796,190.020179,186.088403,156.799568,169.002508,175.6471,180.660564,185.19699,190.047114,185.679014,171.176939,179.734722,187.270156,175.821676,155.221099,155.909753,152.221459,137.835323
BNSF_All_Train_Mainline,0,137.499269,146.752898,147.069474,146.516097,149.244443,149.058126,160.415966,172.814565,178.924409,185.121817,174.803616,170.931924,143.848655,155.672631,161.669222,166.150765,170.749013,175.2916,171.032489,157.653629,166.048638,173.129101,162.086832,143.265997,144.180989,140.581701,126.868602
BNSF_All_Train_Non_Mainline,18.858098,17.172694,16.028517,15.404521,14.137816,13.766921,12.818532,13.101186,13.71629,14.645078,15.166143,15.216563,15.156479,12.950913,13.329877,13.977878,14.509799,14.447977,14.755514,14.646525,13.52331,13.686084,14.141055,13.734844,11.955102,11.728764,11.639758,10.966721
