,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CN_All_Freight_Only_Mainline,0,19.509361,19.639839,19.329169,19.749183,19.414332,18.260902,17.88669,17.917691,17.567118,17.351236,16.727234,16.553972,13.424674,14.410388,14.990304,16.555721,17.742439,18.556629,18.414547,16.995654,17.735011,18.829268,19.094088,16.252868,16.69966,17.723445,16.211651
CN_All_Freight_Other_Mainline,0,0.025066,0.019107,0.020361,0.018137,0.025595,0.032396,0.029138,0.029837,0.024887,0.021292,0.020902,0.022646,0.033229,0.017812,0.01864,0.01964,0.01109,0.0103,0.02053,0.037288,0.047365,0.050268,0.050808,0.018034,0.016061,0.023062,0.010014
CN_All_Freight_Non_Mainline,2.903462,3.166933,3.294289,3.304442,5.601091,5.303468,4.907171,4.876372,5.470233,5.282715,4.900792,4.395095,4.023541,2.676848,2.897741,3.048303,2.832584,2.577306,2.520797,2.196939,2.002305,2.100512,2.156697,2.152403,1.778667,1.795635,2.011598,1.820602
CN_ClassI_Freight_Both_Mainline,0,19.534427,19.658946,19.34953,19.76732,19.439927,18.293298,17.915828,17.947528,17.592005,17.372528,16.748136,16.576618,13.457903,14.4282,15.008944,16.575361,17.753529,18.566929,18.435077,17.032942,17.782376,18.879536,19.144896,16.270902,16.715721,17.746507,16.221665
CN_ClassI_Freight_Only_Mainline,0,19.509361,19.639839,19.329169,19.749183,19.414332,18.260902,17.88669,17.917691,17.567118,17.351236,16.727234,16.553972,13.424674,14.410388,14.990304,16.555721,17.742439,18.556629,18.414547,16.995654,17.735011,18.829268,19.094088,16.252868,16.69966,17.723445,16.211651
CN_ClassI_Freight_Other_Mainline,0,0.025066,0.019107,0.020361,0.018137,0.025595,0.032396,0.029138,0.029837,0.024887,0.021292,0.020902,0.022646,0.033229,0.017812,0.01864,0.01964,0.01109,0.0103,0.02053,0.037288,0.047365,0.050268,0.050808,0.018034,0.016061,0.023062,0.010014
CN_ClassI_Freight_Non_Mainline,2.903462,3.166933,3.294289,3.304442,5.601091,5.303468,4.907171,4.876372,5.470233,5.282715,4.900792,4.395095,4.023541,2.676848,2.897741,3.048303,2.832584,2.577306,2.520797,2.196939,2.002305,2.100512,2.156697,2.152403,1.778667,1.795635,2.011598,1.820602
CN_Non_ClassI_Freight_Both_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN_Non_ClassI_Freight_Only_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN_Non_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN_Non_ClassI_Freight_Non_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN_All_Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN_All_Train,2.903462,22.705435,22.959039,22.670826,25.374341,24.748466,23.201129,22.7922,23.417761,22.87472,22.27332,21.143231,20.600159,16.134751,17.325941,18.057247,19.407945,20.330835,21.087726,20.632016,19.035247,19.882888,21.036233,21.297299,18.049569,18.511356,19.758105,18.042267
CN_All_Train_Mainline,0,19.538502,19.66475,19.366384,19.77325,19.444998,18.293958,17.915828,17.947528,17.592005,17.372528,16.748136,16.576618,13.457903,14.4282,15.008944,16.575361,17.753529,18.566929,18.435077,17.032942,17.782376,18.879536,19.144896,16.270902,16.715721,17.746507,16.221665
CN_All_Train_Non_Mainline,2.903462,3.166933,3.294289,3.304442,5.601091,5.303468,4.907171,4.876372,5.470233,5.282715,4.900792,4.395095,4.023541,2.676848,2.897741,3.048303,2.832584,2.577306,2.520797,2.196939,2.002305,2.100512,2.156697,2.152403,1.778667,1.795635,2.011598,1.820602
CP_All_Freight,2.493164,12.50692,13.15179,13.152756,13.41602,13.030888,13.965436,15.004796,15.17604,14.970185,15.220686,14.80117,14.356621,12.00783,13.895199,14.065658,13.942611,13.366867,11.967816,11.15375,8.675351,8.953526,9.456725,9.509478,7.944608,8.271565,8.834014,2.82512
CP_All_Freight_Both_Mainline,0,10.238194,10.815677,10.494153,10.616368,10.348717,11.392416,12.450222,12.697043,12.175507,12.572843,12.183986,11.852426,9.948461,11.363806,11.706776,11.95001,11.989797,10.631623,10.062351,8.047064,8.455792,8.960175,9.098739,7.545436,7.644523,8.233864,2.613186
CP_All_Freight_Only_Mainline,0,10.238194,10.815677,10.494153,10.616368,10.348717,11.392416,12.450222,12.697043,12.175507,12.572843,12.183986,11.852426,9.948461,11.363806,11.706776,11.95001,11.989797,10.631623,10.062351,8.047064,8.455792,8.960175,9.098739,7.545436,7.644523,8.233864,2.613186
CP_All_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_All_Freight_Non_Mainline,2.493164,2.268726,2.336113,2.658603,2.799652,2.682171,2.57302,2.554574,2.478997,2.794678,2.647843,2.617184,2.504195,2.059369,2.531393,2.358882,1.992601,1.37707,1.336193,1.091399,0.628287,0.497734,0.49655,0.410739,0.399172,0.627042,0.60015,0.211934
CP_ClassI_Freight_Both_Mainline,0,10.238194,10.815677,10.494153,10.616368,10.348717,11.392416,12.450222,12.697043,12.175507,12.572843,12.183986,11.852426,9.948461,11.363806,11.706776,11.95001,11.989797,10.631623,10.062351,8.047064,8.455792,8.960175,9.098739,7.545436,7.644523,8.233864,2.613186
CP_ClassI_Freight_Only_Mainline,0,10.238194,10.815677,10.494153,10.616368,10.348717,11.392416,12.450222,12.697043,12.175507,12.572843,12.183986,11.852426,9.948461,11.363806,11.706776,11.95001,11.989797,10.631623,10.062351,8.047064,8.455792,8.960175,9.098739,7.545436,7.644523,8.233864,2.613186
CP_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_ClassI_Freight_Non_Mainline,2.493164,2.268726,2.336113,2.658603,2.799652,2.682171,2.57302,2.554574,2.478997,2.794678,2.647843,2.617184,2.504195,2.059369,2.531393,2.358882,1.992601,1.37707,1.336193,1.091399,0.628287,0.497734,0.49655,0.410739,0.399172,0.627042,0.60015,0.211934
CP_Non_ClassI_Freight_Both_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_Non_ClassI_Freight_Only_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_Non_ClassI_Freight_Other_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_Non_ClassI_Freight_Non_Mainline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_All_Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_All_Train,2.493164,12.50692,13.157788,13.152757,13.41602,13.030888,13.965436,15.004796,15.17604,14.970185,15.220686,14.80117,14.356621,12.00783,13.895199,14.065658,13.942611,13.366867,11.967816,11.15375,8.675351,8.953526,9.456725,9.509478,7.944608,8.271565,8.834014,2.82512
CP_All_Train_Mainline,0,10.238194,10.821675,10.494154,10.616368,10.348717,11.392416,12.450222,12.697043,12.175507,12.572843,12.183986,11.852426,9.948461,11.363806,11.706776,11.95001,11.989797,10.631623,10.062351,8.047064,8.455792,8.960175,9.098739,7.545436,7.644523,8.233864,2.613186
CP_All_Train_Non_Mainline,2.493164,2.268726,2.336113,2.658603,2.799652,2.682171,2.57302,2.554574,2.478997,2.794678,2.647843,2.617184,2.504195,2.059369,2.531393,2.358882,1.992601,1.37707,1.336193,1.091399,0.628287,0.497734,0.49655,0.410739,0.399172,0.627042,0.60015,0.211934
